,n_cluster2,n_cluster3,n_cluster4,n_cluster5,n_cluster6,n_cluster7,n_cluster8,n_cluster9,n_cluster10,n_cluster11,n_cluster12,n_cluster13,n_cluster14,n_cluster15,n_cluster16,n_cluster17,n_cluster18,n_cluster19,n_cluster20
0,1,2,0,1,2,3,2,2,1,2,10,2,5,3,14,15,5,1,16
1,1,2,2,3,2,3,2,2,9,2,8,10,5,13,11,5,12,7,3
2,1,2,0,1,2,3,2,2,1,0,10,2,12,3,14,15,5,1,16
3,1,0,1,2,0,6,6,7,9,7,11,0,3,0,2,2,6,5,12
4,1,0,1,2,0,6,6,7,9,7,11,0,9,5,8,2,13,3,12
5,1,2,2,3,2,3,2,2,1,2,8,10,5,3,14,5,5,1,16
6,0,1,3,0,3,4,0,5,8,9,6,7,2,14,0,1,0,16,8
7,0,1,0,1,2,3,2,2,1,0,10,2,12,12,14,4,8,6,1
8,0,1,3,0,4,0,3,0,8,9,7,1,1,4,9,8,0,18,5
9,0,1,3,0,3,4,0,5,2,1,6,7,2,14,0,1,2,2,8
10,1,0,1,2,0,6,1,7,9,7,11,0,3,0,10,2,6,5,12
11,1,0,1,2,0,6,6,7,9,7,11,0,3,0,10,2,6,5,12
12,1,0,1,2,0,6,6,7,9,7,11,0,3,0,8,2,6,5,12
13,0,2,0,1,2,3,2,2,1,0,10,2,12,12,14,4,8,6,1
14,1,2,2,3,1,2,4,1,5,4,3,8,11,9,5,10,10,11,17
15,1,2,2,3,1,2,4,1,5,4,3,8,11,9,2,5,10,11,3
16,1,0,0,1,4,0,3,4,0,5,0,5,7,10,3,3,16,0,2
17,1,0,1,2,4,0,1,4,0,5,0,9,7,7,10,11,11,9,19
18,0,1,3,0,4,0,3,0,8,9,7,1,1,4,9,8,0,18,5
19,0,1,0,1,2,3,2,2,1,0,10,2,12,3,14,15,8,1,1
20,1,2,2,3,2,3,2,2,1,2,8,10,5,13,11,5,5,7,16
21,0,1,3,0,3,4,0,5,2,1,2,3,4,1,6,7,15,8,0
22,0,1,3,0,3,4,0,0,8,9,7,1,1,4,9,8,0,16,5
23,0,1,3,0,3,4,0,5,2,1,6,7,2,14,0,1,2,2,8
24,1,0,1,2,4,0,1,4,0,5,0,9,7,7,12,11,7,9,19
25,1,2,2,1,2,3,2,2,1,2,10,10,5,3,14,15,5,1,16
26,1,0,1,2,0,6,6,7,4,10,4,4,9,5,8,6,13,3,6
27,1,2,2,1,2,3,2,2,9,2,8,10,10,13,1,0,1,12,14
28,1,2,2,3,2,3,2,2,1,2,8,10,5,13,1,5,1,12,16
29,1,0,1,2,0,6,1,4,9,7,11,0,3,0,10,2,6,9,19
30,0,1,3,0,3,4,0,5,2,1,6,7,2,14,0,1,2,2,8
31,1,2,2,3,1,2,4,1,5,4,3,8,11,9,5,10,10,11,17
32,1,2,2,3,1,2,4,1,5,4,3,8,11,9,5,10,10,11,17
33,1,2,0,1,2,3,2,2,1,2,8,10,5,13,11,3,12,7,2
34,1,0,0,1,4,1,3,8,3,3,1,5,8,10,3,12,16,0,9
35,1,0,1,2,0,6,1,7,9,7,11,0,3,0,2,2,6,5,12
36,0,1,3,0,3,4,0,5,2,1,6,7,2,14,0,1,2,2,8
37,1,0,1,2,0,6,1,4,0,5,0,9,7,7,10,11,7,9,13
38,0,1,3,0,3,4,0,5,2,1,6,7,2,14,0,1,2,2,8
39,0,1,3,0,3,4,0,5,2,1,6,7,2,14,0,1,2,2,8
40,1,2,0,1,2,3,2,2,1,2,8,10,5,13,11,3,12,7,2
41,1,2,0,1,2,3,2,2,1,0,10,2,12,3,14,15,5,1,16
42,0,1,3,0,3,4,0,5,2,1,6,7,2,1,0,1,2,16,8
43,0,1,0,1,3,3,0,2,1,0,10,2,12,1,6,15,8,8,1
44,1,2,0,1,2,3,2,2,1,0,10,2,12,3,14,15,8,1,1
45,0,1,0,1,4,0,3,0,8,0,10,2,12,4,9,8,8,18,1
46,0,1,3,0,3,4,0,5,2,1,6,7,2,14,0,1,2,2,8
47,1,2,2,3,2,3,2,2,9,2,8,10,5,13,11,5,12,7,3
48,1,0,0,1,2,3,2,2,9,2,8,10,5,13,11,3,12,7,2
49,1,2,2,1,2,3,2,2,1,2,8,10,5,13,11,5,12,7,2
