,n_cluster2,n_cluster3,n_cluster4,n_cluster5,n_cluster6,n_cluster7,n_cluster8,n_cluster9,n_cluster10,n_cluster11,n_cluster12,n_cluster13,n_cluster14,n_cluster15,n_cluster16,n_cluster17,n_cluster18,n_cluster19,n_cluster20
0,0,1,2,2,5,5,1,6,2,3,10,3,6,6,15,2,5,12,1
1,0,1,1,3,5,5,7,6,9,6,5,0,2,7,2,9,17,8,19
2,0,1,2,2,5,5,1,6,2,3,10,3,6,6,15,2,5,12,1
3,0,0,0,1,3,6,3,1,9,9,0,9,12,3,13,12,12,3,4
4,0,0,0,1,3,6,3,1,9,9,0,9,12,3,13,12,12,3,4
5,0,1,1,2,5,5,1,6,2,3,10,3,6,7,15,2,5,8,19
6,1,2,3,0,0,3,4,0,6,7,1,1,5,1,9,14,1,1,12
7,0,1,1,2,5,5,1,6,2,3,10,6,6,10,6,4,2,5,14
8,1,2,3,4,4,3,4,8,0,1,2,8,11,14,4,16,15,13,8
9,1,2,3,0,0,1,2,0,6,7,1,1,1,1,9,1,4,15,7
10,0,0,0,1,2,6,5,1,9,9,0,9,12,3,13,5,0,10,10
11,0,0,0,1,3,6,3,1,9,9,0,9,12,3,13,12,12,3,4
12,0,0,0,1,3,6,3,1,9,9,0,9,12,3,13,12,12,3,4
13,0,1,1,2,5,5,1,6,2,3,10,6,6,10,6,4,2,5,14
14,0,1,1,3,1,2,7,2,4,2,6,2,3,2,11,15,10,2,6
15,0,1,1,3,1,2,7,2,4,2,6,2,3,2,2,9,17,16,15
16,0,0,2,4,4,0,0,4,5,8,3,10,10,12,7,11,6,4,13
17,0,0,0,1,2,0,5,1,9,9,0,9,12,3,13,5,0,10,10
18,1,2,3,4,4,3,4,8,0,1,2,8,11,14,4,16,15,13,8
19,1,2,2,2,4,5,1,7,3,8,3,10,10,6,8,7,16,12,1
20,0,1,1,2,5,5,1,6,2,6,5,3,13,7,15,2,5,8,19
21,1,2,3,0,0,1,2,7,3,5,9,7,9,11,1,6,9,9,12
22,1,2,3,0,4,3,4,8,0,1,2,8,5,14,8,16,15,1,12
23,1,2,3,0,0,1,2,0,6,7,1,1,1,1,9,1,4,15,7
