,n_cluster2,n_cluster3,n_cluster4,n_cluster5,n_cluster6,n_cluster7,n_cluster8,n_cluster9,n_cluster10,n_cluster11,n_cluster12,n_cluster13,n_cluster14,n_cluster15,n_cluster16,n_cluster17,n_cluster18,n_cluster19,n_cluster20
0,0,1,3,0,0,3,3,2,6,7,1,0,0,0,2,12,7,12,4
1,0,1,1,0,0,3,6,2,1,2,1,1,2,0,15,1,2,17,8
2,0,1,3,2,2,0,2,6,8,0,3,8,9,4,13,5,3,13,7
3,0,0,1,1,4,1,0,0,1,2,0,10,3,0,15,1,2,17,6
4,0,1,3,0,0,3,6,2,6,7,1,1,2,0,15,12,7,12,12
5,0,1,3,0,0,3,3,6,6,7,3,0,0,4,2,10,12,11,4
6,0,0,1,1,4,1,0,0,3,6,7,5,5,3,8,16,16,3,3
7,0,1,3,0,0,3,6,2,6,7,1,1,2,8,4,14,13,2,11
8,0,0,1,1,4,1,0,0,1,2,0,10,3,14,0,6,6,4,18
9,0,1,3,2,2,0,2,6,8,0,3,8,9,4,13,5,3,13,7
10,0,1,3,2,0,6,6,4,0,9,5,4,13,2,14,3,10,15,0
11,0,0,1,1,4,1,0,0,3,6,7,5,3,0,15,1,2,17,6
12,0,0,1,1,0,1,0,2,1,2,1,10,3,0,15,1,2,17,8
13,0,1,3,2,2,0,2,6,8,0,3,8,9,4,13,5,3,13,7
14,0,1,3,2,2,0,2,6,8,0,3,8,9,4,13,5,3,13,7
15,0,1,3,2,0,6,6,4,0,9,5,4,11,2,14,3,0,15,13
16,0,1,3,2,2,0,2,6,8,0,3,8,9,4,13,5,3,13,7
17,0,1,3,0,0,3,6,2,6,7,1,1,0,4,15,12,7,12,12
18,0,1,3,2,0,6,6,2,0,9,1,1,11,2,14,12,7,12,12
19,0,1,3,2,2,0,2,6,8,0,3,8,9,4,13,5,3,13,7
20,0,1,3,2,2,0,2,6,8,0,3,8,9,4,13,5,3,13,7
21,0,1,3,2,0,6,6,4,0,9,5,1,2,8,4,12,7,12,12
22,0,0,1,1,4,1,0,0,1,2,0,10,3,14,0,6,6,4,18
23,0,1,3,0,0,3,6,2,6,7,1,1,2,8,4,14,13,2,11
