,n_cluster2,n_cluster3,n_cluster4,n_cluster5,n_cluster6,n_cluster7,n_cluster8,n_cluster9,n_cluster10,n_cluster11,n_cluster12,n_cluster13,n_cluster14,n_cluster15,n_cluster16,n_cluster17,n_cluster18,n_cluster19,n_cluster20
0,1,1,0,4,3,2,5,2,1,10,1,6,7,7,1,0,3,18,8
1,0,0,1,4,3,2,5,5,3,6,1,0,1,1,2,2,16,6,13
2,1,1,0,3,4,6,1,0,0,5,4,8,13,3,4,13,11,3,1
3,0,0,1,1,0,0,0,8,8,4,8,2,8,4,2,1,16,6,13
4,1,1,0,4,3,2,5,2,1,0,1,1,12,0,3,9,17,7,2
5,1,1,0,4,3,2,5,2,1,10,4,6,7,7,1,0,3,18,8
6,0,0,1,1,0,0,0,1,2,2,8,2,8,4,0,1,10,5,6
7,0,0,1,1,0,0,0,5,3,6,0,0,1,8,2,4,16,6,13
8,0,0,1,1,0,0,0,5,3,6,0,0,1,8,15,4,15,0,14
9,1,1,0,4,3,2,5,2,0,5,4,8,13,3,4,13,11,3,1
10,1,1,0,4,1,1,7,8,8,4,11,5,0,14,13,10,5,14,17
11,0,0,1,1,0,0,0,1,2,2,8,2,8,4,2,2,10,5,6
12,0,0,1,1,1,1,7,8,3,6,2,0,3,1,2,2,2,2,18
13,1,1,0,3,4,6,1,0,0,5,4,8,13,3,4,13,11,3,1
14,1,1,0,3,4,6,1,0,0,5,4,8,13,3,4,13,11,3,1
15,1,1,0,4,1,1,7,8,8,0,11,1,0,14,13,10,5,14,2
16,1,1,0,3,4,6,1,0,0,5,4,8,13,3,4,13,11,3,1
17,1,1,0,4,3,2,5,2,1,0,1,1,12,0,3,9,17,7,11
18,1,1,0,4,1,1,7,8,8,4,11,5,0,14,13,10,5,14,17
19,1,1,0,3,4,6,1,0,0,5,4,8,13,3,4,13,11,3,1
20,1,1,0,3,4,6,1,0,0,5,4,8,13,3,4,13,11,3,1
21,1,1,0,4,1,1,7,8,8,4,11,5,0,1,13,10,5,2,18
22,0,0,1,1,0,0,0,5,3,6,0,0,1,8,15,4,15,0,14
23,1,1,0,4,3,2,5,2,1,0,1,1,12,0,14,12,7,16,15
24,1,1,0,4,3,2,5,2,1,0,1,1,12,0,14,12,7,16,15
25,1,1,0,4,3,2,5,2,1,10,4,6,7,7,3,9,17,7,11
26,1,1,0,3,4,6,1,0,0,5,4,8,13,3,4,13,11,3,1
27,1,1,0,3,4,6,1,0,0,5,4,8,13,3,4,13,11,3,1
28,1,1,0,4,4,6,1,0,8,4,11,5,0,14,13,9,17,7,11
