,n_cluster2,n_cluster3,n_cluster4,n_cluster5,n_cluster6,n_cluster7,n_cluster8,n_cluster9,n_cluster10,n_cluster11,n_cluster12,n_cluster13,n_cluster14,n_cluster15,n_cluster16,n_cluster17,n_cluster18,n_cluster19,n_cluster20
0,0,1,1,0,3,2,0,4,7,4,3,6,12,13,12,8,2,7,5
1,0,1,3,4,0,5,5,8,2,0,7,3,4,6,3,5,4,13,1
2,0,1,1,0,3,4,7,5,5,5,10,0,0,3,12,2,2,7,5
3,0,1,3,4,0,5,1,0,6,7,4,7,10,9,8,0,15,2,17
4,0,1,3,4,0,5,5,8,2,0,7,3,10,6,8,10,17,4,17
5,0,1,1,0,3,2,0,4,7,4,3,6,12,13,12,8,2,7,5
6,1,0,2,1,1,6,6,6,0,6,1,10,1,12,6,9,9,17,10
7,1,2,0,2,2,3,2,3,3,1,11,1,11,2,11,11,5,16,7
8,1,2,0,2,2,3,2,3,3,1,2,1,11,2,11,11,5,16,7
9,0,1,1,4,0,2,5,8,2,0,7,3,4,6,3,5,4,13,1
10,0,1,3,3,4,1,4,2,6,7,6,4,5,1,1,6,13,6,6
11,0,1,1,0,3,4,7,5,6,7,4,7,5,1,1,0,1,2,18
12,0,1,3,3,4,1,4,2,6,7,6,4,5,1,1,6,13,6,6
13,1,2,0,2,2,3,2,3,3,1,11,1,11,2,11,11,5,16,7
14,0,1,1,0,3,4,7,5,5,5,10,0,0,3,2,2,11,9,11
15,0,1,1,0,3,4,7,5,5,5,10,0,0,3,2,2,11,9,11
16,0,1,3,4,0,5,5,8,2,0,7,3,4,6,3,5,4,13,1
17,0,1,3,3,4,1,4,2,6,3,6,4,5,1,1,6,13,6,6
18,1,0,2,2,1,6,6,6,3,2,2,5,7,4,4,15,3,15,0
19,1,0,2,1,5,0,3,1,4,8,5,2,13,0,0,1,0,1,15
20,0,1,1,0,3,4,7,5,5,5,10,0,0,3,2,2,11,9,11
21,1,0,2,1,1,6,6,6,0,6,5,2,13,8,7,1,0,1,15
22,0,2,0,3,4,1,4,2,1,3,6,4,3,11,13,6,13,6,6
