,n_cluster2,n_cluster3,n_cluster4,n_cluster5,n_cluster6,n_cluster7,n_cluster8,n_cluster9,n_cluster10,n_cluster11,n_cluster12,n_cluster13,n_cluster14,n_cluster15,n_cluster16,n_cluster17,n_cluster18,n_cluster19,n_cluster20
0,1,1,1,0,1,4,3,1,8,0,4,4,5,5,8,16,8,15,4
1,1,1,2,2,5,0,0,2,1,4,5,10,9,13,9,6,1,6,3
2,1,1,1,0,1,3,5,5,5,9,9,3,0,3,3,16,16,15,4
3,1,1,2,2,5,0,0,2,4,6,11,5,10,6,1,7,14,18,5
4,1,1,2,2,5,0,0,2,1,4,5,7,2,10,6,7,14,14,5
5,1,1,1,0,1,4,3,1,8,0,4,4,5,5,8,16,8,15,4
6,0,0,0,4,4,6,6,6,6,3,8,9,4,9,7,15,0,8,1
7,0,2,3,1,0,5,1,3,3,1,2,12,1,2,0,5,4,10,11
8,0,2,3,1,0,5,1,3,3,1,2,12,1,2,0,5,4,10,11
9,1,1,1,2,5,4,3,1,1,4,5,10,9,13,9,6,1,6,3
10,1,2,3,3,2,2,4,4,7,5,6,1,3,4,5,3,17,2,13
11,1,1,1,3,2,2,4,4,7,5,1,1,3,4,5,11,3,17,13
12,1,1,2,3,2,2,4,4,7,5,1,1,3,4,5,3,17,7,13
13,0,2,3,1,0,5,1,3,3,1,2,12,1,2,0,5,4,10,11
14,1,1,1,0,1,3,5,5,5,9,9,3,0,3,3,1,16,4,0
15,1,1,1,0,1,3,5,5,5,9,9,3,0,3,3,11,3,17,15
16,1,1,2,2,3,1,2,0,1,4,5,10,2,13,9,13,12,14,18
17,1,2,2,3,2,2,4,4,7,5,1,1,3,4,5,3,17,2,13
18,0,0,0,1,4,6,6,3,3,1,3,0,11,14,15,9,9,5,9
19,0,0,0,4,3,1,2,0,0,8,0,8,6,12,2,2,5,0,14
20,1,1,1,0,1,3,5,5,5,9,9,3,0,3,3,1,16,4,0
21,0,0,0,4,4,6,6,6,6,8,0,8,6,12,2,2,5,0,14
22,0,2,3,3,2,2,4,8,2,7,6,6,13,1,10,14,6,3,16
23,0,2,3,1,0,5,1,3,3,1,2,12,1,2,0,5,4,10,11
24,0,2,3,1,0,5,1,8,2,7,6,6,13,1,10,14,6,11,2
25,1,1,1,0,1,0,0,4,7,5,1,1,10,6,1,11,3,17,15
26,0,2,2,3,3,1,2,0,0,2,7,2,7,8,13,0,10,3,16
27,1,1,2,3,2,2,4,4,7,5,1,1,3,4,5,3,17,7,13
28,1,1,2,2,5,0,0,2,1,4,5,10,9,13,9,6,1,6,3
29,1,1,2,2,5,0,0,2,4,6,11,5,10,6,1,7,14,18,5
