,n_cluster2,n_cluster3,n_cluster4,n_cluster5,n_cluster6,n_cluster7,n_cluster8,n_cluster9,n_cluster10,n_cluster11,n_cluster12,n_cluster13,n_cluster14,n_cluster15,n_cluster16,n_cluster17,n_cluster18,n_cluster19,n_cluster20
0,0,1,0,2,0,1,3,5,0,0,10,11,13,14,14,11,13,15,16
1,0,1,2,0,4,2,0,0,3,8,6,7,1,0,0,1,11,10,12
2,0,1,0,2,0,1,3,5,0,0,10,11,13,14,14,4,14,0,14
3,0,1,0,2,0,6,5,7,4,5,1,5,4,9,9,16,7,5,10
4,1,2,3,3,5,6,2,4,8,10,4,6,11,10,10,15,16,18,5
5,0,1,0,2,0,1,3,5,0,0,10,11,13,14,14,11,13,15,16
6,1,0,1,1,1,4,6,6,2,4,0,8,2,12,12,2,1,11,11
7,1,0,1,1,1,4,6,6,2,4,0,8,2,12,12,2,1,11,11
8,1,2,3,1,1,4,6,6,2,1,7,9,7,1,1,8,3,12,13
9,0,1,2,0,4,2,0,0,3,8,6,7,1,0,0,1,11,10,12
10,1,2,3,3,2,0,1,2,5,9,3,10,9,2,13,0,15,2,18
11,0,1,2,0,4,2,0,0,9,2,11,3,8,5,5,6,5,16,3
12,0,1,0,3,5,6,5,2,5,9,3,4,0,2,2,0,15,2,18
13,1,0,1,1,1,4,6,6,2,4,0,8,2,12,12,2,1,11,11
14,0,1,0,2,0,1,3,5,0,0,5,0,3,3,3,9,0,4,1
15,0,1,0,2,0,1,3,5,0,0,5,0,3,3,3,9,0,4,1
16,0,1,2,0,4,2,0,0,3,8,6,7,1,0,0,1,11,10,12
17,1,2,3,3,2,0,1,2,5,9,3,4,0,2,15,10,2,13,8
18,1,2,3,1,2,0,1,1,1,1,7,9,7,13,13,3,6,9,19
19,1,2,3,1,2,0,1,1,1,1,7,9,7,13,15,10,2,13,8
20,0,1,2,0,4,2,0,0,3,8,6,7,1,0,0,1,11,10,12
21,1,0,1,4,3,3,4,3,6,3,9,2,5,4,4,5,9,3,2
22,1,2,3,1,1,4,6,6,2,6,2,1,6,6,6,13,8,7,9
23,1,0,1,1,1,4,6,6,2,4,0,8,2,12,12,2,1,11,11
24,1,2,3,1,1,4,6,6,2,6,2,1,6,6,6,13,8,7,9
25,0,1,0,3,5,6,5,2,5,9,3,4,0,2,2,4,14,0,14
26,1,2,3,1,1,0,2,4,8,6,2,1,6,6,6,13,8,7,9
27,0,1,0,2,0,1,5,7,4,5,1,5,4,9,2,4,14,0,14
28,0,2,2,3,5,6,2,4,8,10,4,6,11,10,10,15,16,18,5
29,0,1,2,0,4,2,0,0,9,2,11,3,8,5,5,6,5,16,3
30,1,0,1,4,1,4,6,6,2,4,0,8,2,12,12,2,1,11,11
31,0,1,0,2,0,1,3,5,0,0,5,0,3,3,3,9,0,4,1
32,0,1,0,2,0,1,3,5,0,0,5,0,3,3,3,9,0,4,1
33,0,1,0,0,5,6,5,7,4,5,1,5,4,9,9,16,7,5,10
34,1,0,1,4,3,3,2,4,8,10,4,2,5,4,4,15,16,18,2
35,0,1,0,2,0,6,5,7,4,5,1,5,4,9,9,16,7,5,10
36,1,0,1,4,1,4,6,6,2,4,0,8,2,12,12,2,4,14,4
37,0,2,3,3,5,6,2,4,8,10,4,6,11,10,10,15,16,18,5
38,1,2,3,1,1,4,6,6,2,1,7,9,7,1,1,8,3,12,13
39,1,2,3,1,2,0,1,1,1,1,7,9,7,13,13,3,6,9,19
40,0,1,2,0,4,2,0,0,3,8,6,7,1,0,0,4,11,0,14
41,0,1,2,0,4,2,0,0,3,8,6,7,1,0,0,1,11,10,12
42,1,0,1,4,3,3,4,3,6,3,9,2,5,4,4,5,9,3,2
43,1,2,3,3,2,0,1,2,5,9,3,4,0,2,15,10,2,13,8
44,0,1,2,0,4,2,0,0,3,8,6,7,1,0,0,1,11,10,12
45,0,2,3,3,2,0,1,2,5,9,3,4,0,2,15,10,2,13,8
46,1,0,1,1,1,4,6,6,2,4,0,8,2,12,12,2,1,11,11
47,0,1,2,0,4,2,0,0,3,8,6,7,1,0,0,1,11,10,12
48,0,1,2,0,4,2,0,0,3,8,6,7,1,0,0,1,11,10,12
49,0,1,0,2,0,1,3,5,0,0,10,11,13,14,14,11,13,15,16
50,0,1,0,2,0,1,3,5,0,0,5,0,3,3,3,9,0,4,1
51,0,2,3,3,5,0,5,2,5,9,3,4,0,2,15,10,2,13,8
52,1,2,3,1,2,0,1,1,1,1,7,9,0,2,15,10,2,13,8
53,0,1,0,3,5,6,5,7,4,5,1,5,4,9,9,16,7,5,10
54,1,0,1,4,3,3,4,3,6,3,9,2,5,4,4,5,9,3,2
55,0,1,0,2,0,1,3,5,0,0,10,11,13,14,14,4,14,0,14
56,0,1,0,3,5,6,5,7,4,5,1,5,4,9,9,16,7,5,10
57,0,1,0,2,0,1,3,5,0,0,10,11,13,14,14,4,14,0,14
58,0,1,2,0,4,2,0,0,3,2,11,3,8,5,5,6,5,16,3
59,0,1,0,3,5,6,5,2,5,5,3,5,4,2,2,4,14,0,14
60,1,0,1,1,1,4,6,6,2,4,0,8,2,12,12,2,1,11,11
61,0,1,2,3,5,2,2,4,8,10,4,4,12,11,11,7,12,17,15
62,1,0,1,4,3,3,4,3,6,3,9,2,5,4,4,5,9,3,2
63,0,1,2,0,4,2,0,0,3,8,6,7,1,0,0,1,11,10,12
64,1,0,1,4,3,3,4,3,6,3,9,2,5,4,4,5,9,3,2
65,1,2,3,1,2,0,1,1,1,1,7,9,7,13,13,3,6,9,19
66,1,2,3,1,1,0,6,1,2,1,7,9,12,11,11,7,4,12,13
67,1,0,1,4,3,3,4,3,6,3,9,2,5,4,4,5,9,3,2
68,1,2,3,1,1,4,6,6,2,6,2,1,6,6,6,13,8,7,9
69,1,0,1,1,1,4,6,6,2,4,0,8,2,12,12,2,1,11,11
70,0,1,2,0,4,2,0,0,3,8,6,7,1,0,0,1,11,10,12
71,0,1,2,0,4,2,0,0,3,8,6,7,1,0,0,1,11,10,12
72,0,1,0,2,5,6,5,2,5,5,3,5,4,2,2,4,14,0,14
73,1,0,1,1,1,4,6,6,2,4,0,8,2,1,12,8,1,11,11
74,1,2,3,3,5,0,2,4,8,10,4,6,11,10,10,15,16,18,5
75,1,2,3,3,5,0,2,4,8,10,4,4,12,11,11,7,12,17,15
76,0,1,0,2,0,1,3,5,0,0,5,0,3,3,3,9,0,4,1
77,1,2,3,3,5,6,2,4,8,10,4,6,11,10,10,0,15,2,18
78,0,1,0,2,0,1,3,5,0,0,5,0,3,3,3,9,0,4,1
79,0,1,0,2,0,1,3,5,0,0,10,0,13,3,3,4,14,0,14
80,1,0,1,4,1,4,6,6,2,4,0,8,2,12,12,2,1,11,11
81,1,0,1,4,3,3,4,3,6,3,9,2,5,4,4,5,9,3,2
82,1,2,3,3,5,6,2,4,8,10,4,6,11,10,10,15,16,18,5
83,1,2,3,3,2,6,1,2,1,9,3,10,9,8,8,14,17,1,7
84,1,0,1,4,3,3,4,3,6,3,9,2,5,4,4,5,9,3,2
85,1,2,3,3,5,0,2,4,8,10,4,4,12,11,11,7,12,17,15
86,1,2,3,1,2,0,1,1,1,1,7,9,7,1,1,8,3,12,13
87,1,0,1,4,3,3,4,3,6,3,9,2,5,4,4,5,4,14,4
88,0,2,3,3,5,6,1,2,5,9,3,10,9,2,2,0,15,2,18
89,1,2,3,3,5,0,2,4,8,10,4,6,11,10,10,15,16,18,5
90,0,1,2,0,4,2,0,0,3,8,6,7,1,0,0,1,11,10,12
91,0,1,0,2,0,1,3,5,0,0,10,11,13,14,14,4,14,0,14
92,1,0,1,4,3,3,4,3,6,3,9,2,5,4,4,5,9,3,2
93,1,2,3,3,2,0,2,4,8,10,4,6,11,10,10,15,16,18,5
94,0,1,2,0,4,2,0,0,3,8,6,7,1,0,0,1,11,10,12
95,0,1,2,0,4,2,0,0,3,8,6,7,1,0,0,1,11,10,12
96,1,2,3,3,2,6,1,2,1,9,3,10,9,8,8,14,17,1,7
97,0,1,0,2,0,1,3,5,0,0,10,11,13,14,14,11,13,15,16
98,0,2,3,3,5,6,5,2,5,9,3,10,9,2,2,0,15,2,18
99,0,1,2,0,4,2,0,0,3,8,6,7,1,0,0,1,11,10,12
100,0,1,2,0,4,2,0,0,3,8,6,7,1,0,0,1,11,10,12
101,0,1,2,0,4,2,0,0,3,8,6,7,1,0,0,1,11,10,12
102,0,1,0,2,0,1,3,5,0,0,5,0,3,3,3,9,0,4,1
103,1,0,1,1,1,4,6,6,2,4,0,8,2,12,12,2,1,11,11
104,1,0,1,4,3,3,4,3,6,3,9,2,5,4,4,5,9,3,2
105,0,1,0,2,0,1,5,7,4,5,5,0,4,3,2,4,14,0,14
106,1,2,3,1,2,0,1,1,1,1,7,9,7,13,13,3,6,9,19
107,1,2,3,1,1,4,6,6,2,6,2,1,6,6,6,13,8,7,9
108,0,2,3,3,5,6,5,2,5,9,3,5,9,2,2,0,15,2,18
109,0,2,3,3,5,6,1,2,5,9,3,10,9,2,2,0,15,2,18
110,1,2,3,1,1,4,6,1,2,1,7,9,7,13,13,3,6,9,19
111,1,2,3,1,1,4,6,6,2,6,2,1,6,6,6,13,8,7,9
112,1,2,3,1,2,0,1,1,1,1,7,9,7,13,13,3,6,9,19
113,1,2,3,1,1,4,6,6,2,6,2,1,6,6,6,13,8,7,9
114,1,2,3,1,1,4,6,6,2,6,2,1,2,1,12,8,1,11,11
115,1,2,3,1,2,0,1,1,1,1,7,9,7,1,1,8,3,6,0
116,1,2,3,3,2,0,1,2,5,9,3,10,9,2,2,0,15,2,18
117,0,2,3,3,5,6,2,4,8,9,4,6,11,10,10,0,15,2,18
118,0,1,2,0,4,2,0,7,9,2,11,3,8,5,5,6,5,16,3
119,0,1,0,3,5,6,5,7,4,5,1,5,4,9,2,16,7,5,10
120,1,2,3,3,2,0,2,2,8,9,3,6,11,10,10,15,16,6,0
121,0,1,0,2,0,1,3,5,4,5,5,0,3,3,3,9,0,4,1
122,1,2,3,3,2,0,2,4,8,10,4,6,11,10,10,15,16,6,0
123,0,1,2,0,4,2,0,0,3,8,6,7,1,0,0,1,11,10,12
124,1,0,1,1,1,4,6,6,2,4,0,8,2,12,12,2,4,14,4
