,n_cluster2,n_cluster3,n_cluster4,n_cluster5,n_cluster6,n_cluster7,n_cluster8,n_cluster9,n_cluster10,n_cluster11,n_cluster12,n_cluster13,n_cluster14,n_cluster15,n_cluster16,n_cluster17,n_cluster18,n_cluster19,n_cluster20
0,1,1,2,1,0,4,1,1,1,3,3,7,10,10,2,0,10,15,2
1,1,1,1,1,0,4,1,1,1,3,11,1,8,3,7,12,14,3,19
2,1,1,2,1,0,4,1,1,1,3,3,7,10,10,2,13,4,13,7
3,1,1,2,1,5,5,2,6,8,4,0,11,1,11,13,5,0,9,13
4,0,0,0,3,5,1,6,7,6,8,9,6,5,5,14,14,3,6,18
5,1,1,2,1,0,4,1,1,1,3,3,7,10,10,2,0,10,15,2
6,0,2,3,2,1,6,3,3,3,5,10,10,0,1,5,16,1,12,3
7,0,2,3,0,1,6,3,3,3,5,10,10,0,1,5,16,1,12,3
8,0,0,0,0,1,6,3,3,3,5,10,5,0,2,9,16,9,10,10
9,1,1,1,4,2,3,4,5,4,1,11,1,8,3,7,12,14,3,19
10,1,0,0,3,5,5,2,4,2,6,8,4,6,6,10,11,5,18,8
11,1,1,2,1,5,5,2,6,8,4,0,11,1,11,13,5,0,9,6
12,1,0,2,3,5,5,2,4,2,6,8,4,6,6,10,11,5,18,8
13,0,2,3,2,1,6,3,3,3,5,10,10,0,1,5,16,1,12,3
14,1,1,2,1,0,4,1,1,1,3,3,2,4,4,6,4,11,14,14
15,1,1,2,1,0,4,1,1,1,3,3,2,4,4,6,4,11,14,14
16,1,1,1,4,2,3,4,5,4,1,11,1,8,3,7,12,14,3,19
17,0,0,0,0,3,2,5,0,5,0,7,5,9,8,3,1,2,4,16
18,0,0,0,0,3,2,5,0,5,0,7,5,9,2,3,1,2,10,10
19,0,0,0,0,3,2,5,4,5,0,7,5,9,8,3,1,2,4,16
20,1,1,1,4,2,3,4,5,4,1,11,1,8,3,7,12,14,3,19
21,0,2,3,2,4,0,7,2,7,2,5,3,7,7,4,2,6,7,4
22,0,0,0,0,1,6,0,3,0,7,6,0,13,9,11,9,7,11,12
23,0,2,3,0,1,6,3,3,3,5,10,10,0,1,5,16,9,12,3
24,0,0,0,0,1,6,0,3,0,7,6,0,13,9,11,9,7,11,12
25,1,1,2,3,5,5,2,4,2,6,8,4,6,6,10,11,5,18,8
26,0,0,0,0,5,1,0,7,0,7,6,6,5,5,11,9,7,11,12
27,1,1,2,3,5,5,2,4,2,6,8,4,6,6,10,13,4,13,7
28,1,1,0,3,5,1,6,7,6,8,9,6,5,5,14,14,3,6,18
