,indobert-base-p1,indobert-large-p1,bert-base-multilingual-uncased,fasttext,n_cluster
0,0.024038094516980028,0.0425496214915683,-0.0033386667178748,0.040947513757885,2
1,0.011359537260046033,0.0096609767712939,-0.0001344362576001,0.010110694957832,3
2,0.000899415784069991,4.226901700477246e-05,0.007488139771033,,4
3,0.02614381393783859,0.0242737521198917,0.0168496729545666,0.0795115482341613,5
4,0.0011565951119338225,0.0011830426254766,0.0343125233635226,,6
5,0.04243998208292465,0.0191052658587014,0.0278599081707864,,7
6,0.010463783746023303,0.0204471716868774,0.0454623128855336,,8
7,,0.0054551028805622,0.0062220299657433,,9
8,0.012013850101393518,0.0059639340133643,0.0259630802388212,,10
9,0.031566569022576874,,0.0285648816045361,,11
10,,0.0756058869516803,0.0393171130944954,,12
11,,0.0630963356969319,0.0178742727862851,,13
12,,,0.0389718504361118,,14
13,,,0.037276409116623,,15
14,,0.0532237118645096,0.0380366674622893,,16
15,,,0.0242957858549972,,17
16,,,,,18
17,,,,,19
18,,,,,20
