,indobert-base-p1,indobert-large-p1,bert-base-multilingual-uncased,fasttext,n_cluster
0,0.75,0.8,0.85,1.0,2
1,0.7666666666666667,0.7666666666666667,0.7,0.9333333333333332,3
2,0.7,0.675,0.65,0.8,4
3,0.68,0.66,0.56,0.74,5
4,0.7166666666666667,0.6833333333333333,0.5833333333333334,0.6666666666666666,6
5,0.6714285714285714,0.6142857142857143,0.5428571428571428,0.6285714285714286,7
6,0.6875,0.6,0.475,0.65,8
7,0.6222222222222222,0.5777777777777777,0.4888888888888889,0.6222222222222222,9
8,0.6,0.57,0.49,0.63,10
9,0.5909090909090909,0.5636363636363636,0.4818181818181818,0.6,11
10,0.5916666666666667,0.55,0.525,0.5416666666666666,12
11,0.6,0.6,0.5,0.6,13
12,0.6,0.55,0.4928571428571429,0.6071428571428571,14
13,0.6066666666666667,0.6133333333333333,0.5466666666666666,0.6,15
14,0.6,0.5875,0.4875,0.60625,16
15,0.6058823529411764,0.6235294117647059,0.4823529411764706,0.611764705882353,17
16,0.6,0.6333333333333333,0.4777777777777778,0.5777777777777777,18
17,0.6263157894736842,0.631578947368421,0.5052631578947369,0.6052631578947368,19
18,0.62,0.61,0.435,0.6,20
